Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
RedCard 20-03,PS2,2002.0,Sports,Midway Games,0.03,0.03,0.0,0.01,0.07,73.0,19.0,9.0,6.0,Midway,E
Future Tactics: The Uprising,PS2,2004.0,Strategy,Crave Entertainment,0.03,0.03,0.0,0.01,0.07,61.0,25.0,6.0,6.0,Zed Two Limited,T
Driver: Parallel Lines,XB,2006.0,Racing,Atari,0.05,0.01,0.0,0.0,0.07,69.0,31.0,5.0,17.0,Reflections Interactive,M
Top Gun,PS3,2011.0,Simulation,505 Games,0.06,0.0,0.0,0.01,0.07,49.0,25.0,4.0,5.0,Doublesix,T
Batman: Rise of Sin Tzu,GBA,2003.0,Action,Ubisoft,0.05,0.02,0.0,0.0,0.07,63.0,12.0,7.0,4.0,Ubisoft,E
Dragon Ball Z: Battle of Z,X360,2014.0,Fighting,Namco Bandai Games,0.01,0.05,0.0,0.0,0.07,53.0,17.0,5.0,44.0,Artdink,T
World Racing,XB,2003.0,Racing,TDK Mediactive,0.05,0.01,0.0,0.0,0.07,56.0,14.0,8.0,8.0,Synetic,E
Resident Evil 5,PC,2009.0,Action,Capcom,0.01,0.04,0.0,0.01,0.07,86.0,30.0,7.0,597.0,Capcom,M
X-Men: The Official Game,GBA,2006.0,Action,Activision,0.05,0.02,0.0,0.0,0.07,55.0,9.0,9.0,6.0,WayForward,E10+
The King of Fighters 02/03,PS2,2005.0,Fighting,SNK,0.03,0.03,0.0,0.01,0.07,73.0,28.0,9.0,14.0,SNK Playmore,T
Armored Core: Nine Breaker,PS2,2004.0,Simulation,505 Games,0.03,0.03,0.0,0.01,0.07,57.0,25.0,8.0,5.0,From Software,T
Terraria,PS4,2014.0,Action,505 Games,0.0,0.05,0.01,0.01,0.07,83.0,4.0,8.0,47.0,Engine Software,T
Worms 3D,GC,2003.0,Strategy,Sega,0.05,0.01,0.0,0.0,0.07,69.0,23.0,8.0,19.0,Team 17,T
TRON: Evolution,PC,2010.0,Action,Disney Interactive Studios,0.06,0.0,0.0,0.0,0.07,57.0,11.0,6.0,25.0,Propaganda Games,T
The Guided Fate Paradox,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.06,0.0,0.07,74.0,27.0,8.0,66.0,Nippon Ichi Software,T
Mayhem 3D,X360,2011.0,Racing,Evolved Games,0.06,0.0,0.0,0.0,0.07,47.0,4.0,9.0,9.0,Zoo Games,E10+
WipEout HD Fury,PS3,2009.0,Racing,Sony Computer Entertainment,0.0,0.05,0.0,0.01,0.07,89.0,15.0,8.0,115.0,Studio Liverpool,E10+
Fallout: Brotherhood of Steel,PS2,2004.0,Role-Playing,Avalon Interactive,0.03,0.03,0.0,0.01,0.07,64.0,31.0,4.0,51.0,Interplay,M
"Flower, Sun, and Rain",DS,2008.0,Adventure,Rising Star Games,0.06,0.0,0.0,0.0,0.07,54.0,37.0,7.0,15.0,h.a.n.d. Inc.,T
Gunstar Super Heroes,GBA,2005.0,Shooter,Sega,0.05,0.02,0.0,0.0,0.07,83.0,31.0,8.0,13.0,Treasure,E10+
Cities XL 2012,PC,2011.0,Strategy,Focus Home Interactive,0.01,0.05,0.0,0.01,0.07,61.0,18.0,6.0,95.0,Monte Cristo Multimedia,E
Worms Forts: Under Siege,XB,2004.0,Strategy,Sega,0.05,0.01,0.0,0.0,0.07,67.0,15.0,8.0,6.0,Team 17,T
Full Spectrum Warrior: Ten Hammers,PS2,2006.0,Strategy,THQ,0.03,0.02,0.0,0.01,0.07,71.0,26.0,8.0,5.0,Pandemic Studios,M
Natural Doctrine,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.02,0.01,0.03,0.01,0.07,60.0,7.0,8.0,29.0,Kadokawa,M
Prince of Persia: The Fallen King,DS,2008.0,Action,Ubisoft,0.06,0.0,0.0,0.0,0.07,64.0,24.0,6.0,9.0,Ubisoft,E
NHL Hitz Pro,XB,2003.0,Sports,Midway Games,0.05,0.01,0.0,0.0,0.07,81.0,23.0,9.0,12.0,Next Level Games,E
Broken Sword 5: The Serpent's Curse,PS4,2015.0,Adventure,Revolution Software,0.0,0.06,0.0,0.01,0.07,72.0,14.0,7.0,23.0,Revolution Software,T
Alan Wake,PC,2012.0,Action,Nordic Games,0.0,0.06,0.0,0.01,0.06,83.0,30.0,8.0,1473.0,Remedy Entertainment,T
Risen 3: Titan Lords,X360,2014.0,Role-Playing,Deep Silver,0.02,0.04,0.0,0.0,0.06,44.0,8.0,4.0,69.0,Piranha Bytes,M
Steambot Chronicles: Battle Tournament,PSP,2008.0,Fighting,Irem Software Engineering,0.05,0.0,0.01,0.01,0.06,54.0,14.0,6.0,8.0,Irem,E10+
Wings of War,XB,2004.0,Simulation,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06,62.0,29.0,5.0,5.0,Silver Wish Games,T
187: Ride or Die,XB,2005.0,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51.0,40.0,7.0,8.0,Ubisoft Paris,M
RPG Maker 3,PS2,2004.0,Role-Playing,Enterbrain,0.03,0.02,0.0,0.01,0.06,69.0,16.0,8.0,14.0,Runtime,E10+
Kabuki Warriors,XB,2001.0,Action,Genki,0.05,0.01,0.0,0.0,0.06,32.0,15.0,2.0,12.0,Light Weight,M
World Poker Tour,XB,2005.0,Misc,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06,63.0,17.0,8.0,4.0,2K Sports,T
Age of Empires III: The Asian Dynasties,PC,2007.0,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,81.0,19.0,8.0,71.0,Big Huge Games,T
IL-2 Sturmovik: Birds of Prey,DS,2009.0,Simulation,505 Games,0.06,0.0,0.0,0.0,0.06,41.0,4.0,2.0,5.0,DiP Interactive,E10+
NanoBreaker,PS2,2005.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06,51.0,38.0,7.0,11.0,KCET,M
Bionicle,XB,2003.0,Action,Electronic Arts,0.05,0.01,0.0,0.0,0.06,49.0,5.0,2.0,4.0,Argonaut Games,E
GRID 2,PC,2013.0,Racing,Codemasters,0.0,0.06,0.0,0.01,0.06,80.0,17.0,6.0,571.0,Codemasters,E
Criminal Girls: Invite Only,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.01,0.01,0.04,0.01,0.06,55.0,31.0,7.0,37.0,"Image Epoch, Imageepoch",M
Miami Vice: The Game,PSP,2006.0,Shooter,Activision,0.06,0.0,0.0,0.0,0.06,63.0,36.0,7.0,12.0,Rebellion,M
Samurai Warriors Chronicles 3,PSV,2014.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,70.0,9.0,8.0,14.0,Omega Force,T
BMX XXX,GC,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,60.0,15.0,5.0,7.0,"Z-Axis, Ltd.",M
One Piece: Unlimited World Red,WiiU,2014.0,Action,Namco Bandai Games,0.0,0.04,0.02,0.0,0.06,66.0,11.0,8.0,43.0,Ganbarion,T
Aggressive Inline,XB,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,85.0,20.0,8.0,7.0,"Z-Axis, Ltd.",T
Insecticide,DS,2008.0,Action,Gamecock,0.06,0.0,0.0,0.0,0.06,55.0,23.0,7.0,5.0,Creat Studios,E10+
XGRA: Extreme G Racing Association,PS2,2003.0,Racing,Acclaim Entertainment,0.03,0.02,0.0,0.01,0.06,68.0,23.0,9.0,8.0,Acclaim Studios Cheltenham,T
Mario vs. Donkey Kong: Tipping Stars,3DS,2015.0,Puzzle,Nintendo,0.0,0.0,0.06,0.0,0.06,70.0,15.0,8.0,48.0,"Nintendo, Nintendo Software Technology",E
Tournament of Legends,Wii,2010.0,Fighting,Sega,0.04,0.02,0.0,0.01,0.06,45.0,38.0,7.0,11.0,High Voltage Software,T
Escape from Bug Island,Wii,2006.0,Action,Eidos Interactive,0.04,0.01,0.01,0.0,0.06,37.0,13.0,5.0,25.0,Spike,M
Gradius Collection,PSP,2006.0,Shooter,Konami Digital Entertainment,0.04,0.0,0.02,0.0,0.06,76.0,44.0,8.0,4.0,M2,E
Fist of the North Star: Ken's Rage 2,X360,2012.0,Fighting,Tecmo Koei,0.03,0.01,0.02,0.0,0.06,55.0,18.0,7.0,20.0,Koei,M
Gallop Racer 2004,PS2,2004.0,Sports,Zoo Digital Publishing,0.03,0.02,0.0,0.01,0.06,70.0,15.0,9.0,12.0,Tecmo,E
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2004.0,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,45.0,16.0,8.0,10.0,Bec,T
F1 2001,XB,2001.0,Racing,Electronic Arts,0.05,0.01,0.0,0.0,0.06,83.0,11.0,6.0,8.0,EA Sports,E
Crimson Gem Saga,PSP,2008.0,Role-Playing,Sega,0.06,0.0,0.0,0.0,0.06,78.0,20.0,8.0,30.0,"IronNos Co.,Ltd.",T
Monster Tale,DS,2011.0,Platform,Majesco Entertainment,0.06,0.0,0.0,0.0,0.06,79.0,15.0,8.0,15.0,DreamRift,E
Legend of the Dragon,Wii,2007.0,Fighting,Game Factory,0.06,0.0,0.0,0.0,0.06,37.0,14.0,5.0,5.0,Neko Entertainment,T
Cel Damage,GC,2002.0,Racing,Electronic Arts,0.05,0.01,0.0,0.0,0.06,67.0,12.0,7.0,11.0,Pseudo Interactive,T
Mirror's Edge Catalyst,PC,2016.0,Platform,Electronic Arts,0.01,0.05,0.0,0.0,0.06,74.0,24.0,4.0,606.0,EA DICE,T
Arc the Lad: End of Darkness,PS2,2004.0,Role-Playing,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.06,59.0,24.0,4.0,10.0,Cattle Call,T
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004.0,Action,Ubisoft,0.05,0.02,0.0,0.0,0.06,68.0,19.0,6.0,6.0,Ubisoft,T
Tokobot,PSP,2005.0,Platform,Take-Two Interactive,0.06,0.0,0.0,0.0,0.06,72.0,30.0,7.0,8.0,Tecmo,E
Land of the Dead: Road to Fiddler's Green,XB,2005.0,Shooter,Groove Games,0.05,0.01,0.0,0.0,0.06,32.0,9.0,6.0,10.0,Brainbox Games,M
Assetto Corsa,PS4,2016.0,Racing,505 Games,0.0,0.05,0.0,0.01,0.06,73.0,35.0,6.0,70.0,Kunos Simulazioni,E
NHL 2K9,Wii,2008.0,Sports,Take-Two Interactive,0.06,0.0,0.0,0.0,0.06,65.0,11.0,5.0,19.0,Visual Concepts,E10+
"Warhammer 40,000: Squad Command",DS,2007.0,Strategy,THQ,0.05,0.01,0.0,0.01,0.06,57.0,21.0,8.0,16.0,THQ,T
One Piece: Burning Blood,XOne,2016.0,Fighting,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,60.0,10.0,6.0,12.0,Spike Chunsoft,T
TrackMania Turbo,XOne,2016.0,Action,Ubisoft,0.02,0.04,0.0,0.0,0.06,76.0,12.0,8.0,27.0,Nadeo,E
Zero Escape: Zero Time Dilemma,PSV,2016.0,Adventure,Aksys Games,0.03,0.0,0.02,0.01,0.06,83.0,31.0,8.0,116.0,"Spike Chunsoft, Chime",M
Bionicle Heroes,DS,2006.0,Shooter,Eidos Interactive,0.06,0.0,0.0,0.0,0.06,72.0,11.0,6.0,15.0,Amaze Entertainment,T
Mystic Heroes,PS2,2002.0,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,67.0,7.0,9.0,14.0,Koei,T
Jurassic Park III: Park Builder,GBA,2001.0,Simulation,Konami Digital Entertainment,0.04,0.02,0.0,0.0,0.06,65.0,5.0,8.0,5.0,Konami,E
Unchained Blades ,PSP,2011.0,Role-Playing,FuRyu,0.0,0.0,0.06,0.0,0.06,61.0,8.0,8.0,15.0,FuRyu,T
Showtime Championship Boxing,Wii,2007.0,Fighting,Zoo Digital Publishing,0.06,0.0,0.0,0.0,0.06,35.0,7.0,5.0,10.0,Nikitova Games,E10+
Bomberman Land,PSP,2007.0,Misc,Hudson Entertainment,0.06,0.0,0.0,0.0,0.06,55.0,14.0,8.0,4.0,Racjin,E
Steins;Gate,PS3,2012.0,Adventure,PQube,0.01,0.02,0.02,0.01,0.06,83.0,8.0,9.0,51.0,Nitro+,M
Nights of Azure,PS4,2015.0,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,67.0,40.0,8.0,71.0,Gust,T
Age of Empires Online,PC,2011.0,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,70.0,44.0,6.0,186.0,Gas Powered Games,E10+
Earth Defense Force 2017 Portable,PSV,2012.0,Action,D3Publisher,0.0,0.0,0.06,0.0,0.06,68.0,36.0,8.0,31.0,Sandlot,T
Atelier Iris 2: The Azoth Of Destiny,PS2,2005.0,Role-Playing,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,68.0,34.0,8.0,14.0,Gust,E10+
From The Abyss,DS,2008.0,Role-Playing,Nobilis,0.06,0.0,0.0,0.0,0.06,59.0,9.0,8.0,5.0,Sonic Powered,E
The LEGO Movie Videogame,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0.0,0.0,0.06,68.0,7.0,7.0,33.0,TT Games,E10+
DuckTales: Remastered,WiiU,2013.0,Action,Capcom,0.06,0.0,0.0,0.01,0.06,76.0,10.0,8.0,100.0,WayForward,E
Giants: Citizen Kabuto,PS2,2001.0,Shooter,Interplay,0.03,0.02,0.0,0.01,0.06,79.0,15.0,7.0,8.0,Digital Mayhem,T
MX vs. ATV Supercross,X360,2014.0,Racing,Nordic Games,0.03,0.02,0.0,0.01,0.06,48.0,10.0,5.0,14.0,Nordic Games Publishing,E
Grand Kingdom,PSV,2015.0,Role-Playing,Nippon Ichi Software,0.01,0.01,0.04,0.01,0.06,76.0,11.0,9.0,33.0,Spike Chunsoft,T
LEGO Batman: The Videogame,PC,2008.0,Action,Warner Bros. Interactive Entertainment,0.02,0.03,0.0,0.01,0.06,80.0,15.0,8.0,61.0,Traveller's Tales,E10+
Alone in the Dark,PS2,2008.0,Adventure,Atari,0.03,0.02,0.0,0.01,0.06,47.0,10.0,5.0,24.0,Hydravision,M
Muppets Party Cruise,PS2,2003.0,Misc,TDK Mediactive,0.03,0.02,0.0,0.01,0.06,61.0,11.0,8.0,6.0,Mass Media,E
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015.0,Shooter,Xseed Games,0.03,0.02,0.0,0.01,0.06,64.0,40.0,8.0,51.0,Sandlot,M
Cold Fear,XB,2005.0,Action,Ubisoft,0.05,0.01,0.0,0.0,0.06,71.0,41.0,8.0,20.0,Darkworks,M
The Technomancer,PS4,2016.0,Role-Playing,Focus Home Interactive,0.02,0.04,0.0,0.01,0.06,60.0,38.0,7.0,116.0,Spiders,M
Theme Park,DS,2007.0,Simulation,Electronic Arts,0.0,0.02,0.03,0.0,0.06,72.0,15.0,8.0,14.0,EA Japan Studio,E
Call of Cthulhu: Dark Corners of the Earth,XB,2005.0,Adventure,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06,77.0,51.0,8.0,37.0,Headfirst Productions,M
Blur,PC,2010.0,Racing,Activision,0.01,0.04,0.0,0.01,0.06,81.0,24.0,7.0,177.0,Bizarre Creations,E10+
The Next BIG Thing,PC,2011.0,Adventure,Focus Home Interactive,0.0,0.05,0.0,0.01,0.06,75.0,30.0,8.0,35.0,Pendulo Studios,E10+
Alien Syndrome,Wii,2007.0,Role-Playing,Sega,0.05,0.0,0.0,0.0,0.06,48.0,24.0,7.0,23.0,Totally Games,T
Vexx,GC,2003.0,Platform,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,71.0,22.0,7.0,6.0,Acclaim,T
Secret Files: Tunguska,Wii,2008.0,Adventure,Koch Media,0.04,0.01,0.0,0.0,0.06,65.0,12.0,8.0,8.0,"10tacle Studios, Fusionsphere Systems",T
Unreal Tournament III,PC,2007.0,Shooter,Midway Games,0.0,0.05,0.0,0.01,0.06,83.0,41.0,8.0,523.0,Epic Games,M
Disney Sports Skateboarding,GC,2002.0,Sports,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.06,36.0,7.0,5.0,6.0,KCEO,E
Terminator 3: The Redemption,XB,2004.0,Shooter,Atari,0.05,0.01,0.0,0.0,0.06,66.0,38.0,9.0,5.0,Paradigm Entertainment,T
Arkanoid DS,DS,2007.0,Puzzle,Square Enix,0.06,0.0,0.0,0.0,0.06,61.0,29.0,7.0,5.0,Taito Corporation,E
Call of Duty 2,PC,2005.0,Shooter,Activision,0.0,0.05,0.0,0.01,0.06,86.0,64.0,8.0,626.0,Infinity Ward,T
Big Bang Mini,DS,2009.0,Shooter,SouthPeak Games,0.05,0.0,0.0,0.0,0.06,78.0,39.0,8.0,26.0,Arkedo Studio,E
Serious Sam II,XB,2005.0,Shooter,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06,72.0,34.0,7.0,11.0,Croteam,M
Song of the Deep,XOne,2016.0,Action,Insomniac Games,0.05,0.0,0.0,0.01,0.06,66.0,12.0,7.0,20.0,Insomniac Games,E
Dead Rising 2: Off the Record,PC,2011.0,Action,Capcom,0.04,0.02,0.0,0.01,0.06,66.0,10.0,5.0,54.0,Capcom Vancouver,M
Flipnic: Ultimate Pinball,PS2,2003.0,Misc,Ubisoft,0.03,0.02,0.0,0.01,0.06,64.0,28.0,8.0,12.0,SCEI,E
The Witcher,PC,2007.0,Role-Playing,Atari,0.0,0.05,0.0,0.01,0.06,81.0,50.0,9.0,1116.0,CD Projekt Red Studio,M
Coded Arms: Contagion,PSP,2007.0,Shooter,Konami Digital Entertainment,0.05,0.0,0.0,0.01,0.06,56.0,20.0,7.0,28.0,Creat Studios,T
S.T.A.L.K.E.R.: Call of Pripyat,PC,2009.0,Shooter,Namco Bandai Games,0.0,0.05,0.0,0.01,0.06,80.0,44.0,9.0,602.0,GSC Game World,M
Create,PC,2010.0,Action,Electronic Arts,0.04,0.01,0.0,0.01,0.06,54.0,7.0,7.0,9.0,EA Bright Light,E
Commandos: Strike Force,PS2,2006.0,Shooter,Eidos Interactive,0.03,0.02,0.0,0.01,0.06,58.0,26.0,8.0,11.0,Pyro Studios,T
Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,2004.0,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,57.0,16.0,9.0,11.0,Capcom,T
Guilty Gear X: Advance Edition,GBA,2002.0,Fighting,Sammy Corporation,0.04,0.02,0.0,0.0,0.06,67.0,14.0,6.0,10.0,Arc System Works,T
Warriors of the Lost Empire,PSP,2007.0,Role-Playing,Mercury Games,0.05,0.0,0.0,0.0,0.06,52.0,6.0,7.0,12.0,Platinum Egg,T
Devil's Third,WiiU,2015.0,Action,Nintendo,0.04,0.02,0.0,0.01,0.06,43.0,54.0,6.0,283.0,Valhalla Game Studios,M
Star Trek: Tactical Assault,DS,2006.0,Strategy,Ubisoft,0.05,0.01,0.0,0.0,0.06,63.0,15.0,7.0,10.0,Quicksilver Software,E
Oddworld: Munch's Oddysee,GBA,2003.0,Platform,THQ,0.04,0.02,0.0,0.0,0.06,44.0,15.0,2.0,4.0,Art,E
Broken Sword: The Shadow of the Templars,GBA,2002.0,Adventure,BAM! Entertainment,0.04,0.02,0.0,0.0,0.06,80.0,17.0,8.0,10.0,Revolution Software,T
Resident Evil - Code: Veronica X,GC,2003.0,Action,Capcom,0.05,0.01,0.0,0.0,0.06,62.0,16.0,8.0,32.0,Nex Entertainment,M
Trapt,PS2,2005.0,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,60.0,36.0,8.0,14.0,Paon Corporation,M
Lord of Magna: Maiden Heaven,3DS,2014.0,Role-Playing,Marvelous Entertainment,0.0,0.0,0.06,0.0,0.06,68.0,16.0,8.0,36.0,Marvelous Inc.,T
Worms 3D,XB,2003.0,Strategy,Sega,0.04,0.01,0.0,0.0,0.06,69.0,20.0,8.0,10.0,Team 17,T
PoPoLoCrois,PSP,2005.0,Role-Playing,Ignition Entertainment,0.05,0.0,0.0,0.0,0.06,66.0,41.0,7.0,17.0,G-Artists,E
Dragon Rage,PS2,2001.0,Shooter,3DO,0.03,0.02,0.0,0.01,0.06,50.0,9.0,6.0,9.0,3DO,T
Theresia...,DS,2008.0,Adventure,Arc System Works,0.05,0.0,0.0,0.0,0.06,61.0,6.0,8.0,8.0,WorkJam,M
Sacred 2: Fallen Angel,PC,2008.0,Role-Playing,Ascaron Entertainment GmbH,0.0,0.05,0.0,0.01,0.06,71.0,41.0,7.0,203.0,"Ascaron Entertainment GmbH, Ascaron Entertainment",M
Adventure Time: The Secret of the Nameless Kingdom,X360,2014.0,Action,Little Orbit,0.0,0.05,0.0,0.0,0.06,58.0,5.0,8.0,4.0,WayForward,E10+
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,2005.0,Action,Konami Digital Entertainment,0.05,0.0,0.0,0.0,0.06,58.0,10.0,7.0,5.0,Konami,E
Jumper: Griffin's Story,X360,2008.0,Action,Eidos Interactive,0.05,0.0,0.0,0.0,0.06,29.0,16.0,3.0,30.0,Red Tribe,T
Tron 2.0: Killer App,XB,2004.0,Action,Disney Interactive Studios,0.04,0.01,0.0,0.0,0.06,69.0,36.0,4.0,4.0,Climax Group,T
The Fast and the Furious,PS2,2006.0,Racing,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,59.0,22.0,7.0,24.0,Eutechnyx,T
Vampire Rain: Altered Species,PS3,2008.0,Action,Ignition Entertainment,0.05,0.0,0.0,0.0,0.06,30.0,15.0,4.0,36.0,Artoon,M
The History Channel: Battle for the Pacific,X360,2007.0,Shooter,Activision,0.05,0.0,0.0,0.0,0.06,35.0,11.0,6.0,21.0,Cauldron Ltd.,T
Racing Gears Advance,GBA,2004.0,Racing,Zoo Digital Publishing,0.04,0.02,0.0,0.0,0.06,83.0,17.0,9.0,9.0,"Orbital Media, Inc.",E
Inversion,X360,2012.0,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,53.0,51.0,6.0,72.0,Saber Interactive,M
Need for Speed: Shift,PC,2009.0,Racing,Electronic Arts,0.0,0.05,0.0,0.01,0.06,83.0,22.0,6.0,387.0,Slightly Mad Studios,E
Mercury Meltdown,PSP,2006.0,Action,Atari,0.05,0.0,0.0,0.01,0.06,78.0,36.0,8.0,8.0,Ignition Entertainment,E
Exist Archive: The Other Side of the Sky,PSV,2015.0,Role-Playing,Aksys Games,0.01,0.0,0.05,0.0,0.06,71.0,8.0,8.0,12.0,Tri-Ace,T
Zoo Tycoon 2,PC,2004.0,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,72.0,34.0,8.0,43.0,Blue Fang Games,E
Brave: A Warrior's Tale,X360,2009.0,Action,SouthPeak Games,0.05,0.01,0.0,0.0,0.06,42.0,17.0,5.0,4.0,Collision Studios,E10+
Fatal Frame,XB,2002.0,Action,Tecmo Koei,0.04,0.01,0.0,0.0,0.06,77.0,17.0,9.0,16.0,Tecmo,T
Urban Chaos: Riot Response,PS2,2006.0,Shooter,Eidos Interactive,0.03,0.02,0.0,0.01,0.06,73.0,35.0,8.0,24.0,Rocksteady Studios,M
Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,2006.0,Shooter,Ubisoft,0.03,0.02,0.0,0.01,0.06,44.0,8.0,5.0,41.0,Ubisoft Shanghai,T
Ivy the Kiwi?,Wii,2010.0,Puzzle,Rising Star Games,0.04,0.02,0.0,0.0,0.06,74.0,30.0,7.0,12.0,Prope,E
Resident Evil 2,GC,2003.0,Action,Capcom,0.04,0.01,0.0,0.0,0.06,59.0,15.0,8.0,31.0,Capcom,M
Catwoman,XB,2004.0,Action,Electronic Arts,0.04,0.01,0.0,0.0,0.06,45.0,33.0,5.0,5.0,EA Games,T
Top Gun: Hard Lock,X360,2012.0,Action,505 Games,0.03,0.02,0.0,0.0,0.06,54.0,8.0,4.0,16.0,505 Games,T
Warriors Orochi 2,X360,2008.0,Action,Tecmo Koei,0.04,0.0,0.01,0.0,0.06,44.0,28.0,8.0,15.0,Omega Force,T
Mana Khemia: Alchemists of Al-Revis,PS2,2007.0,Role-Playing,Nippon Ichi Software,0.03,0.02,0.0,0.01,0.06,69.0,20.0,8.0,41.0,Gust,E10+
Street Fighter V,PC,2016.0,Fighting,Capcom,0.0,0.05,0.0,0.0,0.06,74.0,33.0,3.0,431.0,Capcom,T
Zone of the Enders: The Fist of Mars,GBA,2001.0,Role-Playing,Konami Digital Entertainment,0.04,0.02,0.0,0.0,0.06,71.0,12.0,9.0,9.0,WinkySoft,E
MX vs. ATV Supercross Encore,PS4,2015.0,Sports,Nordic Games,0.0,0.05,0.0,0.01,0.06,42.0,8.0,4.0,9.0,Rainbow Studios,E
Gun Showdown,PSP,2006.0,Action,Activision,0.05,0.0,0.0,0.01,0.06,73.0,41.0,8.0,9.0,"Rebellion, Neversoft Entertainment",M
Tiger Woods PGA Tour 08,DS,2007.0,Sports,Electronic Arts,0.05,0.0,0.0,0.0,0.06,81.0,10.0,8.0,8.0,Exient Entertainment,E
Constantine,XB,2005.0,Action,SCi,0.04,0.01,0.0,0.0,0.06,60.0,31.0,7.0,17.0,Bits Studios,M
Tom Clancy's Splinter Cell: Double Agent,GC,2006.0,Action,Ubisoft,0.04,0.01,0.0,0.0,0.06,64.0,8.0,7.0,7.0,Ubisoft Montreal,M
Samurai Shodown Anthology,Wii,2008.0,Fighting,Ignition Entertainment,0.05,0.0,0.0,0.0,0.06,74.0,6.0,8.0,5.0,SNK Playmore,T
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007.0,Shooter,THQ,0.01,0.04,0.0,0.01,0.06,82.0,44.0,8.0,1088.0,GSC Game World,M
Nanostray,DS,2005.0,Shooter,Majesco Entertainment,0.05,0.0,0.0,0.0,0.06,71.0,43.0,8.0,19.0,Shin'en,E
Samurai Jack: The Shadow of Aku,PS2,2004.0,Action,Sega,0.03,0.02,0.0,0.01,0.06,59.0,21.0,8.0,10.0,Adrenium,T
Tropico 5,X360,2014.0,Simulation,Kalypso Media,0.03,0.02,0.0,0.0,0.06,71.0,4.0,7.0,9.0,Haemimont,T
Rugby World Cup 2015,PS4,2015.0,Sports,Ubisoft,0.0,0.05,0.0,0.01,0.06,25.0,6.0,2.0,39.0,HB Studios Multimedia,E
Lost Kingdoms II,GC,2003.0,Role-Playing,Activision,0.04,0.01,0.0,0.0,0.06,68.0,25.0,9.0,14.0,From Software,T
Aggressive Inline,GC,2002.0,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06,88.0,16.0,8.0,5.0,"Z-Axis, Ltd.",T
Viewtiful Joe: Red Hot Rumble,GC,2005.0,Action,Capcom,0.04,0.01,0.0,0.0,0.06,62.0,27.0,7.0,8.0,Clover Studio,T
Blade Dancer: Lineage of Light,PSP,2006.0,Role-Playing,Atari,0.05,0.0,0.0,0.0,0.06,60.0,33.0,7.0,16.0,Hit Maker,E10+
X-Men: Destiny,DS,2011.0,Action,Activision,0.05,0.01,0.0,0.0,0.06,33.0,6.0,6.0,7.0,Silicon Knights,E10+
The Sims 2: University,PC,2005.0,Simulation,Electronic Arts,0.01,0.04,0.0,0.01,0.06,81.0,31.0,8.0,49.0,Maxis,T
Generation of Chaos,PSP,2005.0,Role-Playing,Midas Interactive Entertainment,0.05,0.0,0.0,0.0,0.06,60.0,29.0,8.0,18.0,Idea Factory,T
Pump It Up: Exceed,PS2,2005.0,Misc,Mastiff,0.03,0.02,0.0,0.01,0.06,73.0,28.0,8.0,11.0,Andamiro U.S.A. Corp.,T
